batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,7,12,8,3,1484.740722,0.7272727272727273
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,8,11,9,3,1678.091959,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,9,10,9,3,1871.443196,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,10,9,9,4,2271.065849,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,11,8,9,5,2453.824498,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,12,7,9,6,2631.066652,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,13,6,9,6,2800.417889,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,14,18,9,6,3068.137541,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,15,19,9,6,3332.734187,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,16,20,9,6,3597.330833,0.8181818181818182
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,17,21,10,6,3867.927479,0.9090909090909091
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,18,22,10,7,4431.147937,0.9090909090909091
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,19,23,11,8,4695.836349,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,20,24,11,9,6077.905558,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,21,13,11,9,6330.502204,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,22,14,11,9,6583.09885,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,23,15,11,10,6860.432686,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,24,16,11,11,7153.613849,1.0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,FINAL,25,1,25,17,11,11,7400.210495,1.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,0,,0,0,0.0,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,1,15,0,0,119.0,0.0
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,2,9,1,0,436.0,0.09090909090909091
round9_main,bounded,outward_111001_spatial_hash,outward,spatial_hash,11,baseline31,BASE,31,1,3,8,1,1,805.787847,0.09090909090909091
