run_id,formal_index,case_code,source_curve_id,channel,bearing_count,covering_radius_m,algorithm_radius_with_slack_m,region_diameter_m,clear_threshold_m,centre_x_m,centre_y_m,measure_x_m,measure_y_m,bearing_deg,virtual_time_s,phase,vertex_count,action_response_line,strategy_update_line
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch01,1,1,752.7962581544269,752.7962582544269,1504.9002768361659,20.0,-727.1316315764265,-193.09742010333392,0.0,0.0,194.87,5,search,3,4,3
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch05,5,1,752.0645314346492,752.0645315346492,1503.4370717205845,20.0,645.0706495971647,385.7340598139496,0.0,0.0,30.88,29,search,3,12,4
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch09,9,1,750.8239172243451,750.8239173243451,1500.9559514614198,20.0,299.6943715508462,687.9151105245245,0.0,0.0,66.46,53,search,3,20,5
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch14,14,1,752.4092259564882,752.4092260564881,1504.1263530972328,20.0,-750.7440501120093,-42.525100395738505,0.0,0.0,183.24,83,search,3,30,6
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch16,16,1,752.9363607586058,752.9363608586058,1505.180426922189,20.0,-496.1180743335972,-565.7602260732068,0.0,0.0,228.75,95,search,3,34,7
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch18,18,1,752.2189700275939,752.2189701275938,1503.7459030247269,20.0,107.32790551901935,744.0562715722476,0.0,0.0,81.79,107,search,3,38,8
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch14,14,2,77.8514218149666,77.8514219149666,155.52782262659048,20.0,-1106.4391032397452,-64.86305336611203,-757.677237623649,79.94985799191805,202.61,277.376741,adaptive_localization,4,44,12
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch01,1,2,77.12224787217663,77.12224797217662,153.98172112821504,20.0,-1244.750817493578,-332.65371306226643,-757.677237623649,79.94985799191805,220.31,283.376741,multi_target_refinement,4,46,14
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch03,3,1,753.6588500137873,753.6588501137873,1507.2578643662391,20.0,-1047.2766299652037,-749.600280541189,-1125.0,1.3777276490407724e-13,275.92,395.39635,search,5,54,18
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch17,17,1,750.4932288591617,750.4932289591617,1500.2943657637938,20.0,-980.3465303839154,735.950437142187,-1125.0,1.3777276490407724e-13,78.88,455.39635,search,3,74,19
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch01,1,3,14.953889622308589,14.953889722308588,29.8734810936566,20.0,-1217.8122076654806,-310.37991463736853,-1270.158049266132,-302.70513157500284,351.64,540.538365,adaptive_localization,4,80,23
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch03,3,2,19.49923475768022,19.49923485768022,38.91302891498406,20.0,-1038.475826876595,-830.6287976262812,-1169.3947344678113,-762.263043074142,332.44,653.013379,adaptive_localization,4,84,28
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch19,19,1,361.1402972350239,361.14029733502394,721.9523906649234,20.0,-593.8869195060215,-1333.831897968758,-562.5000000000005,-974.2785792574933,265.0,852.988319,search,3,108,32
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch19,19,2,24.24858920269771,24.24858930269771,48.414307637121986,20.0,-606.6601028925827,-1486.659120288649,-678.5506107836695,-1326.4247847697052,294.2,939.143479,adaptive_localization,4,112,36
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch16,16,2,120.4938588569923,120.4938589569923,240.77183364699707,20.0,-819.7060484857652,-929.5383154210158,-403.8567998450285,-646.6711922453957,214.14,1163.092632,adaptive_localization,4,118,41
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch16,16,3,42.41137956796995,42.41137966796995,84.79050323240398,20.0,-854.6871184704806,-953.4786358712925,-819.7060484857652,-929.5383154210158,214.25,1268.67979,adaptive_localization,3,120,43
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch16,16,4,19.260756374229047,19.260756474229048,38.50679441046927,20.0,-870.6363835086502,-964.2583394392964,-854.6871184704806,-953.4786358712925,213.92,1282.157559,adaptive_localization,3,122,45
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch05,5,2,16.566173493875443,16.566173593875444,33.052519501598056,20.0,690.1409867781306,413.0117046439405,708.0161203576946,280.4764788925345,97.69,2041.149174,adaptive_localization,4,170,54
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch06,6,1,682.1846440659392,682.1846441659392,1363.7597158285034,20.0,-7.094860122511168,1348.9502582801463,562.5000000000001,974.2785792574934,146.64,2206.015758,search,3,178,58
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch09,9,2,13.435647067406954,13.435647167406954,26.79381550192253,20.0,294.939819691397,676.9270035915918,412.0383694137197,638.9732624732547,162.04,2333.519053,adaptive_localization,4,196,62
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch18,18,2,33.841912853052385,33.841912953052386,67.4804479237644,20.0,143.12712203235188,997.6400828850084,412.0383694137197,638.9732624732547,126.88,2339.519053,multi_target_refinement,4,198,64
windows_q3_final_001,1,5ER6-BK3Y-KHDQ-MUQT,Q3-1-ch18,18,3,11.11751604467792,11.11751614467792,22.2125597589577,20.0,130.47325615493745,1014.6655933097857,122.3169823446864,982.0267441888519,75.95,2444.247967,adaptive_localization,4,202,69
