batch,rounding,layout_id,family,error_mode,source_count,arm,station_budget,conditions_per_layout_per_arm,actual_completed_stations,station_index,discovered_channels,discovered_fraction,value_kind,beyond_station_budget
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,7,8,0.7272727272727273,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,8,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,9,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,10,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,11,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,12,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,13,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,14,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,15,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,16,9,0.8181818181818182,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,17,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,18,10,0.9090909090909091,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,19,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,20,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,21,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,22,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,23,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,24,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,25,11,1.0,observed_scan_endpoint,0
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,26,11,1.0,post_stop_carry_forward,1
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,27,11,1.0,post_stop_carry_forward,1
round9_main,bounded,uniform_111000_spatial_hash,uniform,spatial_hash,11,recommended25,25,1,25,28,11,1.0,post_stop_carry_forward,1
