problem,formal_index,case_code,series_id,run_directory,n_cleared,last_clear_virtual_time_s,exit_virtual_time_s,post_last_clear_virtual_time_s,measure_count,no_signal_count,known_channel_no_signal_count,clear_failure_count,optical_fallback_episodes,formal_header_after_exit_ms
Q3,1,5ER6-BK3Y-KHDQ-MUQT,Q3-正式1,question3/results/windows_q3_final_001,10,2955.601841,2955.601841,0.000000,106,79,,0,,22
Q3,2,VUK9-G6FH-ACSC-KFYG,Q3-正式2,question3/results/windows_q3_final_002,16,3888.457566,3888.457566,0.000000,96,49,,0,,28
Q3,3,3BEW-YK5X-AE2M-SJND,Q3-正式3,question3/results/windows_q3_final_004,12,2914.805856,3055.660631,140.854775,110,75,,0,,13
Q4,1,JHQ9-ZVTT-CGAR-GVTX,Q4-正式1,question4/results/windows_q4_final_001,10,5291.925448,5755.710921,463.785473,309,282,12,0,4,9
Q4,2,SXAN-9UWV-2X8Z-GZ58,Q4-正式2,question4/results/windows_q4_final_002,15,5700.659511,5824.431712,123.772201,245,205,44,5,6,6
Q4,3,CEBG-3EHE-MGUQ-H96W,Q4-正式3,question4/results/windows_q4_final_003,11,6363.743253,6363.743253,0.000000,314,277,23,6,7,5
