batch,arm,source_stratum,station_index,n_independent_layouts,n_observed_scan_endpoints,n_carried_forward,count_q1,count_median,count_q3,fraction_q1,fraction_median,fraction_q3
round9_main,baseline31,n_sources_10,18,9,9,0,8.0,9.0,9.0,0.8,0.9,0.9
round9_main,baseline31,n_sources_10,19,9,9,0,9.0,9.0,10.0,0.9,0.9,1.0
round9_main,baseline31,n_sources_10,20,9,9,0,9.0,9.0,10.0,0.9,0.9,1.0
round9_main,baseline31,n_sources_10,21,9,9,0,9.0,9.0,10.0,0.9,0.9,1.0
round9_main,baseline31,n_sources_10,22,9,9,0,9.0,10.0,10.0,0.9,1.0,1.0
round9_main,baseline31,n_sources_10,23,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,24,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,25,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,26,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,27,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,28,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,29,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,30,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_10,31,9,9,0,10.0,10.0,10.0,1.0,1.0,1.0
round9_main,baseline31,n_sources_11,0,18,18,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_11,1,18,18,0,0.0,0.0,0.0,0.0,0.0,0.0
round9_main,baseline31,n_sources_11,2,18,18,0,1.0,3.0,5.0,0.09090909090909091,0.2727272727272727,0.45454545454545453
round9_main,baseline31,n_sources_11,3,18,18,0,2.0,3.5,5.75,0.18181818181818182,0.3181818181818182,0.5227272727272727
round9_main,baseline31,n_sources_11,4,18,18,0,2.25,4.0,5.75,0.20454545454545453,0.36363636363636365,0.5227272727272727
round9_main,baseline31,n_sources_11,5,18,18,0,3.0,4.5,6.0,0.2727272727272727,0.40909090909090906,0.5454545454545454
