layout_id,seed,family,error_mode,rounding,case_id,BASE,PARALLAX,ADAPT_SHARED,ADAPT_GATED,PAIR_GATED,ADAPT_SHADOW,ADAPT_VALUE_GATE,ADAPT_ENTRY
cluster_31f2044651973a7a,191076,cluster,negative,pre_round_stress,cluster_31f2044651973a7a__negative__pre_round_stress,5861.507966,5869.101625,5861.630541,5825.814773,5841.621897,5825.814773,5825.814773,5825.814773
cluster_31f2044651973a7a,191076,cluster,positive,bounded,cluster_31f2044651973a7a__positive__bounded,6313.063237,6340.950735,6305.897772,6315.597288,6282.287088,6315.597288,6315.597288,6315.597288
cluster_31f2044651973a7a,191076,cluster,positive,pre_round_stress,cluster_31f2044651973a7a__positive__pre_round_stress,6313.345205,6341.313536,6306.145258,6315.862513,6282.499791,6315.862513,6315.862513,6315.862513
cluster_31f2044651973a7a,191076,cluster,smooth,bounded,cluster_31f2044651973a7a__smooth__bounded,6067.45111,6095.678633,6000.374598,6038.549621,6032.988306,6038.549621,6038.549621,6038.549621
cluster_31f2044651973a7a,191076,cluster,smooth,pre_round_stress,cluster_31f2044651973a7a__smooth__pre_round_stress,6067.45111,6095.678633,6000.374598,6038.549621,6032.988306,6038.549621,6038.549621,6038.549621
cluster_31f2044651973a7a,191076,cluster,spatial_hash,bounded,cluster_31f2044651973a7a__spatial_hash__bounded,5958.210293,6031.533292,5927.684003,5929.897436,5904.915272,5929.897436,5928.176847,5929.897436
cluster_31f2044651973a7a,191076,cluster,spatial_hash,pre_round_stress,cluster_31f2044651973a7a__spatial_hash__pre_round_stress,5958.210293,6031.533292,5927.684003,5929.897436,5904.915272,5929.897436,5928.176847,5929.897436
cluster_37a7f070473c076e,191046,cluster,negative,bounded,cluster_37a7f070473c076e__negative__bounded,5917.299008,5717.243145,5576.362728,5491.255026,5467.745106,5486.255026,5543.460864,5489.683948
cluster_37a7f070473c076e,191046,cluster,negative,pre_round_stress,cluster_37a7f070473c076e__negative__pre_round_stress,5923.982912,5678.447495,5576.391824,5491.232481,5467.703344,5486.232481,5543.385267,5489.669041
cluster_37a7f070473c076e,191046,cluster,positive,bounded,cluster_37a7f070473c076e__positive__bounded,5617.635094,5536.695824,5607.077129,5497.504635,5459.941078,5497.504635,5473.465277,5497.504635
cluster_37a7f070473c076e,191046,cluster,positive,pre_round_stress,cluster_37a7f070473c076e__positive__pre_round_stress,5617.915034,5536.708832,5607.03294,5497.481999,5459.926547,5497.481999,5473.443605,5497.481999
cluster_37a7f070473c076e,191046,cluster,smooth,bounded,cluster_37a7f070473c076e__smooth__bounded,4828.678308,4734.201532,5139.161682,4852.411802,4752.302443,4852.411802,4851.828586,4819.521267
cluster_37a7f070473c076e,191046,cluster,smooth,pre_round_stress,cluster_37a7f070473c076e__smooth__pre_round_stress,4828.675357,4734.198248,5139.163942,4852.380538,4752.281597,4852.380538,4851.797322,4819.490003
cluster_37a7f070473c076e,191046,cluster,spatial_hash,bounded,cluster_37a7f070473c076e__spatial_hash__bounded,3568.654528,3215.70243,5046.53614,5021.466305,5009.84146,5021.466305,5637.964359,5120.162842
cluster_37a7f070473c076e,191046,cluster,spatial_hash,pre_round_stress,cluster_37a7f070473c076e__spatial_hash__pre_round_stress,3568.654528,3215.70243,5046.53614,5021.466305,5009.84146,5021.466305,5637.964359,5120.162842
cluster_3855463a57c8dba6,191100,cluster,negative,bounded,cluster_3855463a57c8dba6__negative__bounded,6059.333102,6119.567912,5766.826191,6135.156386,6111.548515,6135.156386,6135.156386,6135.156386
cluster_3855463a57c8dba6,191100,cluster,negative,pre_round_stress,cluster_3855463a57c8dba6__negative__pre_round_stress,6068.85845,6119.640657,5766.786541,6133.455826,6118.810497,6133.455826,6133.455826,6133.455826
cluster_3855463a57c8dba6,191100,cluster,positive,bounded,cluster_3855463a57c8dba6__positive__bounded,5941.674191,5952.328288,5746.423342,5937.669857,5905.999938,5937.669857,5937.669857,5937.669857
cluster_3855463a57c8dba6,191100,cluster,positive,pre_round_stress,cluster_3855463a57c8dba6__positive__pre_round_stress,5941.762149,5952.404128,5746.577308,5937.637702,5905.982506,5937.637702,5937.637702,5937.637702
cluster_3855463a57c8dba6,191100,cluster,smooth,bounded,cluster_3855463a57c8dba6__smooth__bounded,6038.300032,6102.746336,5770.466779,6115.977351,6085.46146,6115.977351,6115.977351,6115.977351
cluster_3855463a57c8dba6,191100,cluster,smooth,pre_round_stress,cluster_3855463a57c8dba6__smooth__pre_round_stress,6038.280241,6102.730969,5770.630894,6115.961984,6085.441669,6115.961984,6115.961984,6115.961984
cluster_3855463a57c8dba6,191100,cluster,spatial_hash,bounded,cluster_3855463a57c8dba6__spatial_hash__bounded,6026.538426,6097.291917,5790.69414,6107.549565,6056.307544,6107.549565,6107.549565,6107.549565
cluster_3855463a57c8dba6,191100,cluster,spatial_hash,pre_round_stress,cluster_3855463a57c8dba6__spatial_hash__pre_round_stress,6026.538426,6097.291917,5790.69414,6107.549565,6056.307544,6107.549565,6107.549565,6107.549565
cluster_3eff2dd5cd69ec42,191070,cluster,negative,bounded,cluster_3eff2dd5cd69ec42__negative__bounded,3990.564717,3890.259443,3848.45255,3832.951162,3847.621496,3832.951162,3846.077959,3832.951162
cluster_3eff2dd5cd69ec42,191070,cluster,negative,pre_round_stress,cluster_3eff2dd5cd69ec42__negative__pre_round_stress,3990.74417,3890.543511,3848.506457,3833.117178,3847.422988,3833.117178,3846.314562,3833.117178
cluster_3eff2dd5cd69ec42,191070,cluster,positive,bounded,cluster_3eff2dd5cd69ec42__positive__bounded,3991.176795,3957.872762,3840.040852,3809.655032,3819.579089,3809.655032,3809.655032,3809.655032
cluster_3eff2dd5cd69ec42,191070,cluster,positive,pre_round_stress,cluster_3eff2dd5cd69ec42__positive__pre_round_stress,3990.946179,3957.964402,3839.776773,3809.513001,3819.372258,3809.513001,3809.513001,3809.513001
cluster_3eff2dd5cd69ec42,191070,cluster,smooth,bounded,cluster_3eff2dd5cd69ec42__smooth__bounded,3925.51501,3965.423422,3847.938706,3819.027967,3814.638618,3819.027967,3819.027967,3819.027967
cluster_3eff2dd5cd69ec42,191070,cluster,smooth,pre_round_stress,cluster_3eff2dd5cd69ec42__smooth__pre_round_stress,3925.51501,3965.423422,3847.938706,3819.027967,3814.638618,3819.027967,3819.027967,3819.027967
