rounding,case_id,baseline,candidate,change_s,change_pct,baseline_success,candidate_success,movement_s_difference,switch_s_difference,detection_s_difference,optical_s_difference,laser_s_difference
pre_round_stress,final_cluster_910026_spatial_hash,2118.455737,2015.767835,-102.68790200000012,-4.847299861238508,True,True,-101.68790175027425,-1.0,0.0,0.0,0.0
pre_round_stress,final_cluster_910026_smooth,2098.829925,2030.506471,-68.32345400000008,-3.2553115993903203,True,True,-68.32345167796575,0.0,0.0,0.0,0.0
pre_round_stress,final_cluster_910026_positive,2117.4949,2015.71283,-101.7820700000002,-4.80672090402674,True,True,-100.78206903344108,-1.0,0.0,0.0,0.0
pre_round_stress,final_cluster_910026_negative,2129.463801,2017.707724,-111.75607699999978,-5.248085313660599,True,True,-104.75607346544984,-1.0,0.0,-6.0,0.0
pre_round_stress,final_min_radius_910027_spatial_hash,4067.816593,3426.403737,-641.4128559999999,-15.767988583943515,True,True,-669.4128569814552,0.0,40.0,-12.0,0.0
pre_round_stress,final_min_radius_910027_smooth,4273.204852,3437.394003,-835.810849,-19.55934428485948,True,True,-841.8108488907828,-6.0,15.0,-3.0,0.0
pre_round_stress,final_min_radius_910027_positive,4116.00449,3471.638542,-644.3659480000001,-15.65513229068416,True,True,-669.3659480647939,-1.0,35.0,-9.0,0.0
pre_round_stress,final_min_radius_910027_negative,4252.438822,3393.887277,-858.5515450000003,-20.18962719835691,True,True,-848.5515447940488,-8.0,10.0,-12.0,0.0
pre_round_stress,final_radial_910028_spatial_hash,1415.680374,1257.173461,-158.50691299999994,-11.196518360436059,True,True,-195.50691093364526,9.0,55.0,-27.0,0.0
pre_round_stress,final_radial_910028_smooth,1421.700064,1154.166011,-267.5340530000001,-18.817896951293946,True,True,-302.5340488929305,9.0,50.0,-24.0,0.0
pre_round_stress,final_radial_910028_positive,1380.828193,1266.664699,-114.16349400000013,-8.26775514714596,True,True,-158.16349818483832,9.0,50.0,-15.0,0.0
pre_round_stress,final_radial_910028_negative,1482.75873,1304.204994,-178.55373600000007,-12.041995261090122,True,True,-195.5537362413031,10.0,55.0,-48.0,0.0
pre_round_stress,final_reception_edge_910029_spatial_hash,4340.222665,3530.60674,-809.6159250000001,-18.653787777498742,True,True,-900.6159227119679,12.0,115.0,-36.0,0.0
pre_round_stress,final_reception_edge_910029_smooth,4215.482877,3527.816025,-687.6668520000003,-16.312884480019207,True,True,-731.6668489345439,10.0,85.0,-51.0,0.0
pre_round_stress,final_reception_edge_910029_positive,3923.007336,3787.221149,-135.78618700000015,-3.4612779271132155,True,True,-295.786183012181,18.0,160.0,-18.0,0.0
pre_round_stress,final_reception_edge_910029_negative,4104.01212,3518.95007,-585.0620500000005,-14.255855803856655,True,True,-625.0620463066502,10.0,105.0,-75.0,0.0
pre_round_stress,final_uniform_910030_spatial_hash,3351.704064,2962.649071,-389.0549930000002,-11.607677335799538,True,True,-450.05499473846976,10.0,60.0,-9.0,0.0
pre_round_stress,final_uniform_910030_smooth,3391.749758,2976.781883,-414.9678749999998,-12.234625329337156,True,True,-531.9678765585354,19.0,110.0,-12.0,0.0
pre_round_stress,final_uniform_910030_positive,3359.367405,2987.974668,-371.3927370000001,-11.055436700589173,True,True,-495.39273906711605,20.0,110.0,-6.0,0.0
pre_round_stress,final_uniform_910030_negative,3682.827101,3118.493181,-564.33392,-15.32338892170002,True,True,-545.3339227553201,4.0,40.0,-63.0,0.0
pre_round_stress,final_outer_910031_spatial_hash,4059.946885,3161.885729,-898.0611559999998,-22.12002229186798,True,True,-1084.061156991358,29.0,160.0,-3.0,0.0
pre_round_stress,final_outer_910031_smooth,3582.997521,3161.713349,-421.28417199999967,-11.757869480256321,True,True,-588.2841700253657,30.0,155.0,-18.0,0.0
pre_round_stress,final_outer_910031_positive,4024.599606,3115.05362,-909.5459860000001,-22.59966394281856,True,True,-1069.5459864070885,26.0,140.0,-6.0,0.0
pre_round_stress,final_outer_910031_negative,3849.921744,3116.101395,-733.8203490000001,-19.06065623654921,True,True,-872.8203500583932,26.0,140.0,-27.0,0.0
pre_round_stress,final_cluster_910032_spatial_hash,2393.176128,2316.669794,-76.50633400000015,-3.1968534661900194,True,True,-123.50633257044387,10.0,55.0,-18.0,0.0
pre_round_stress,final_cluster_910032_smooth,2423.15415,2311.854103,-111.30004699999972,-4.5931888815245125,True,True,-146.30005068345463,10.0,55.0,-30.0,0.0
pre_round_stress,final_cluster_910032_positive,2390.081233,2337.653922,-52.42731099999992,-2.1935367834420294,True,True,-119.42730666983516,10.0,60.0,-3.0,0.0
pre_round_stress,final_cluster_910032_negative,2555.712252,2334.333496,-221.3787559999996,-8.662115847617713,True,True,-222.37875630073245,10.0,60.0,-69.0,0.0
pre_round_stress,final_min_radius_910033_spatial_hash,4105.288402,3294.452805,-810.8355970000002,-19.751002063703492,True,True,-798.835594059406,-7.0,-5.0,0.0,0.0
pre_round_stress,final_min_radius_910033_smooth,4126.546548,3292.785288,-833.7612600000002,-20.204818976393145,True,True,-815.7612586473056,-7.0,-5.0,-6.0,0.0
pre_round_stress,final_min_radius_910033_positive,4115.006505,3318.66834,-796.3381650000001,-19.35205118223744,True,True,-785.3381637471753,-5.0,0.0,-6.0,0.0
pre_round_stress,final_min_radius_910033_negative,4114.616802,3287.243649,-827.3731529999995,-20.10814597845021,True,True,-815.3731512652071,-6.0,0.0,-6.0,0.0
pre_round_stress,final_radial_910034_spatial_hash,2797.334711,2767.78216,-29.552550999999767,-1.0564538767488196,True,True,-85.5525520086826,12.0,65.0,-21.0,0.0
pre_round_stress,final_radial_910034_smooth,2809.379674,2767.24274,-42.136933999999655,-1.4998661231148236,True,True,-97.13693301612102,12.0,70.0,-27.0,0.0
pre_round_stress,final_radial_910034_positive,2850.105506,2736.691656,-113.41384999999991,-3.979286021561057,True,True,-165.41384715232834,10.0,60.0,-18.0,0.0
pre_round_stress,final_radial_910034_negative,2928.537521,2724.240651,-204.29687000000013,-6.976071453243304,True,True,-189.29687192280608,8.0,40.0,-63.0,0.0
pre_round_stress,final_reception_edge_910035_spatial_hash,4311.79236,3616.008433,-695.7839270000004,-16.13676793564337,True,True,-726.7839264449135,7.0,90.0,-66.0,0.0
pre_round_stress,final_reception_edge_910035_smooth,3924.349047,3296.545798,-627.803249,-15.997640410705294,True,True,-625.8032517806769,5.0,50.0,-57.0,0.0
pre_round_stress,final_reception_edge_910035_positive,3926.353174,3670.512673,-255.84050099999968,-6.515982889520878,True,True,-278.8405016216898,0.0,50.0,-27.0,0.0
pre_round_stress,final_reception_edge_910035_negative,4483.175089,3318.551445,-1164.6236440000002,-25.97765246460131,True,True,-1135.6236488806703,5.0,65.0,-99.0,0.0
pre_round_stress,final_uniform_910036_spatial_hash,3813.133746,3716.235189,-96.89855699999998,-2.541179078799616,True,True,-243.89855550003494,24.0,165.0,-42.0,0.0
pre_round_stress,final_uniform_910036_smooth,4208.986176,3791.49727,-417.4889060000005,-9.918989717299576,True,True,-481.48890514060304,8.0,80.0,-24.0,0.0
pre_round_stress,final_uniform_910036_positive,3423.609531,3794.394418,370.7848869999998,10.830232935228956,True,True,283.78489221237305,9.0,90.0,-12.0,0.0
pre_round_stress,final_uniform_910036_negative,4331.069207,3853.315558,-477.75364899999977,-11.030847722955816,True,True,-500.75364801817113,8.0,90.0,-75.0,0.0
pre_round_stress,final_outer_910037_spatial_hash,3053.432797,2877.749382,-175.68341499999997,-5.753636208159197,True,True,-199.68341166880373,16.0,80.0,-72.0,0.0
pre_round_stress,final_outer_910037_smooth,3241.040806,2919.166605,-321.8742010000001,-9.931198657052642,True,True,-338.87420683388154,17.0,90.0,-90.0,0.0
pre_round_stress,final_outer_910037_positive,2958.519383,2857.188478,-101.3309049999998,-3.4250546263870696,True,True,-146.3309075439995,13.0,65.0,-33.0,0.0
